"Node A","Node B","Is direct","Weight in real distance(HostIP)","Weight in real distance(GeoIP2)","Weight in response time"
"142.250.212.203","108.170.249.30","true","1.7976931348623157E308","0.0","73.415"
"142.250.201.164","142.251.64.125","true","1.7976931348623157E308","0.0","135.47"
"209.85.250.201","192.178.82.41","true","1.7976931348623157E308","0.0","137.646"
"81.253.131.113","80.10.123.11","false","1.7976931348623157E308","0.0","21.155"
"192.178.82.41","192.178.82.35","true","1.7976931348623157E308","0.0","64.263"
"81.253.131.125","81.253.131.113","true","1.7976931348623157E308","0.0","26.583"
"72.14.214.230","81.253.131.125","true","1.7976931348623157E308","8198.42","78.972"
"142.250.226.24","142.250.212.203","true","1.7976931348623157E308","0.0","70.536"
"192.178.82.35","142.250.226.24","true","1.7976931348623157E308","0.0","67.294"
"80.10.123.11","81.248.150.159","false","1.7976931348623157E308","6999.55","10.292"
"142.251.64.125","108.170.245.1","true","1.7976931348623157E308","0.0","134.931"
"108.170.249.30","72.14.214.230","true","1.7976931348623157E308","0.0","75.278"
"108.170.245.1","209.85.250.201","true","1.7976931348623157E308","0.0","136.982"
